# Chunk-averaged data for fix 5 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number v_T vx vy vz v_vx2 v_vy2 v_vz2 c_cols[1] c_cols[2] c_cols[3] c_cols[4] c_cols[5] c_cols[6]
1000000 800 500000.00000000064
  155 38.625 8.69107 0.0869107 16022.2 -5.70937 2.51582 -33.7434 14885.8 14381.6 18799.1 -53.3821 -39.3514 -38.1694 0.2379 6.68655 -1.46579
  156 38.875 8.62059 0.0862059 16364.6 -4.59771 4.53247 -35.7741 15145.1 14767.7 19181.1 -54.2426 -48.0743 -45.9537 -0.480554 3.12459 -6.58229
  157 39.125 8.55626 0.0855626 16432.5 -3.70534 3.05655 -34.1611 15856.8 14853.4 18587.3 -55.841 -41.7145 -45.214 5.40644 -1.524 -5.27449
  158 39.375 8.78888 0.0878888 15849.6 -3.22104 3.17679 -32.3659 15103.2 15096 17349.6 -54.3437 -51.6304 -49.7915 -7.3088 -2.93072 -5.08414
  159 39.625 8.60071 0.0860071 16175 -6.67882 5.8511 -31.9196 15653.6 15403.8 17467.6 -54.0841 -46.0496 -47.818 1.77686 -2.58198 -2.98303
  160 39.875 8.51206 0.0851206 16268.6 -5.00922 3.54407 -32.1577 15485 15777.1 17543.8 -46.6949 -46.298 -55.8678 2.73877 -4.05503 -1.41381
  161 40.125 8.75836 0.0875836 15666.2 -5.37017 4.3986 -30.8816 15237.6 15132.8 16628 -49.3058 -56.6839 -52.7429 0.506107 3.77748 8.77491
  162 40.375 8.44324 0.0844324 15796.4 -10.4064 5.07851 -32.2156 15180.7 14697.1 17511.3 -47.1153 -59.9285 -68.2698 -4.53405 2.28643 6.18654
  163 40.625 8.4237 0.084237 15490.5 -7.13107 3.7507 -30.0208 14958.8 14492 17020.7 -34.5898 -42.6036 -43.6552 -0.405564 -3.5049 2.68568
  164 40.875 8.36028 0.0836028 16179.5 -5.79781 2.63893 -30.8819 15882.8 15499.3 17156.5 -38.2825 -47.9954 -53.1807 -2.60788 2.54039 -1.29647
  165 41.125 8.20079 0.0820079 16099.3 -5.55798 1.07138 -32.2926 15915 15318.9 17063.9 -44.3753 -31.7988 -49.6657 0.960672 1.95275 -3.95291
  166 41.375 8.23092 0.0823092 16191.9 -4.50757 -0.564515 -30.7425 16220.8 15516.8 16838.2 -46.3101 -37.6266 -47.9738 3.33098 -3.79005 -0.847582
  167 41.625 7.63172 0.0763172 16831.1 -3.41083 -6.09244 -33.9132 15789.5 16236.8 18467 -37.9734 -41.7014 -44.2974 -1.64059 -1.33785 3.75295
  168 41.875 7.54452 0.0754452 17248.3 -2.44692 -12.9343 -32.4957 16254 17227 18263.9 -33.2327 -41.1767 -36.2768 -1.83173 0.533907 -3.36897
  169 42.125 7.70867 0.0770867 16899 -3.94798 -6.56596 -31.6472 16353.8 16674 17669.1 -39.4772 -35.4853 -35.5409 3.75877 2.13702 -0.448706
  170 42.375 7.49553 0.0749553 17064 -8.04313 -7.96835 -33.8196 16491 16384.8 18316.3 -26.9637 -30.5845 -34.924 -4.85448 -3.19674 3.72113
  171 42.625 7.69855 0.0769855 16891.6 -4.31077 -6.72939 -32.8768 16856.8 15950.1 17868 -36.6881 -33.9066 -41.6083 -2.02119 -6.74179 3.54669
  172 42.875 7.44143 0.0744143 17011.5 -3.95668 -11.6001 -30.9848 16619.5 17020.2 17394.8 -47.9446 -36.7909 -45.1379 -2.3203 -6.54498 0.474543
  173 43.125 7.1545 0.071545 17239.5 -2.44192 -10.1746 -30.5901 16884.4 17204.8 17629.2 -40.6718 -37.4246 -45.1093 0.520069 -5.86082 -3.09474
  174 43.375 7.2195 0.072195 16887.4 -1.72011 -3.5843 -30.4704 16225.1 16875.4 17561.7 -40.2128 -52.9141 -34.616 1.98509 -1.16762 -3.24185
  175 43.625 7.13694 0.0713694 16898 -4.30484 -1.05556 -31.6798 17010 15760.5 17923.7 -48.647 -50.3208 -38.8646 11.3603 -3.45922 -2.48255
  176 43.875 7.39006 0.0739006 16283.3 -8.45905 2.23736 -28.4364 16395.6 15608.9 16845.4 -43.0896 -43.7795 -48.2471 1.78105 1.30286 -1.13501
  177 44.125 6.65268 0.0665268 16624.8 -5.99451 -1.61458 -30.0889 16731.6 15573.3 17569.4 -38.5616 -31.974 -30.0558 -2.08618 -2.26433 -3.08088
  178 44.375 6.8933 0.068933 16918.6 -2.27507 4.25413 -28.953 18300.9 15273 17181.8 -62.408 -47.7005 -52.3785 -1.77687 -2.54557 -2.89958
  179 44.625 6.68755 0.0668755 17287.2 -7.32816 -0.208346 -28.9522 18092.9 15947.7 17821.1 -49.1609 -33.0634 -41.1458 -2.67476 -1.85975 -2.78654
  180 44.875 6.66189 0.0666189 17641.7 -1.92374 13.861 -28.7811 19056.9 16336.5 17531.6 -35.6959 -33.546 -38.85 -7.56981 -6.89203 -5.91944
  181 45.125 6.5158 0.065158 16731.8 -5.43126 7.24996 -29.6913 16915.7 15600.5 17679.1 -28.95 -26.1695 -45.9846 -2.8627 -2.49729 -2.0758
  182 45.375 6.38561 0.0638561 16756.2 -5.84777 8.53458 -30.9028 17098.3 15282.9 17887.5 -25.2683 -30.5004 -36.5714 -0.422545 -8.25867 -0.965321
  183 45.625 6.57836 0.0657836 16651 -3.20488 9.22468 -29.0549 17481.8 15230.3 17240.9 -29.4563 -29.8122 -37.0586 -2.42876 -6.04667 1.91797
  184 45.875 6.47269 0.0647269 16331.3 -11.249 5.5285 -28.7183 16960.3 14529.3 17504.3 -24.6572 -28.2122 -27.1103 4.74044 -1.17606 4.02095
  185 46.125 6.14198 0.0614198 16730.3 -12.3967 2.66061 -25.6963 17924.5 14665.1 17601.3 -28.7329 -22.5666 -37.8628 -2.56948 2.16121 4.37918
  186 46.375 5.8194 0.058194 17202.2 -3.55553 8.09031 -27.7344 17639.6 15787.6 18179.2 -28.9436 -28.7457 -35.2112 1.35816 7.29012 -1.09397
  187 46.625 5.91679 0.0591679 16813.7 -4.32631 10.0103 -27.8629 17543.1 15286.9 17611.1 -30.5917 -22.2092 -33.2106 3.84983 13.1045 -6.6388
  188 46.875 5.74955 0.0574955 16955.2 1.25937 7.83407 -28.7156 16944.9 15449.5 18471.2 -30.5131 -15.1515 -36.9643 -3.11859 7.52294 5.49313
  189 47.125 5.51289 0.0551289 16742.7 -4.67098 9.01543 -28.7707 16228.6 14959.6 19040 -30.1557 -33.2576 -41.9136 -4.04927 6.59584 4.50531
  190 47.375 5.53493 0.0553493 16971.7 -6.34599 10.5195 -30.0569 16821.5 14980.8 19112.7 -33.3863 -34.6505 -38.669 1.9019 4.97485 0.350264
  191 47.625 5.5523 0.055523 16877.6 -6.39475 8.20998 -28.098 16643.3 15369.8 18619.7 -22.8397 -20.1837 -23.817 0.827898 -0.0570755 -3.16501
  192 47.875 5.17689 0.0517689 16511.4 -6.91885 7.92331 -25.3597 16314.8 14913 18306.4 -31.3449 -29.416 -30.0257 1.49115 1.22715 -4.8554
  193 48.125 5.06006 0.0506006 16623.9 0.865281 6.46243 -24.1761 16379.6 15010.3 18481.7 -28.7487 -46.0002 -32.2213 -6.22135 -1.70832 -3.82971
  194 48.375 5.22042 0.0522042 16465.2 0.768991 4.0063 -23.9008 16221.2 14776.3 18398.1 -29.3556 -27.4595 -27.6261 3.31887 2.58941 0.129593
  195 48.625 4.86881 0.0486881 17175.7 3.28784 8.58043 -23.7117 17217.1 15306 19004 -14.5841 -20.4269 -31.7959 -1.41671 2.32811 0.537209
  196 48.875 4.64624 0.0464624 17045.4 4.74786 10.8881 -20.1264 16836.5 14976.6 19323 -17.0796 -18.6792 -18.146 -4.07422 4.70553 -2.23769
  197 49.125 4.3906 0.043906 17652.2 5.21811 8.97031 -20.601 17493 15514.3 19949.2 -24.7222 -25.5773 -29.5934 -3.49581 7.91559 -0.0473572
  198 49.375 4.56362 0.0456362 16835.2 4.90313 8.1965 -19.1993 17140 14832.7 18532.8 -13.9889 -10.8853 -14.0892 -3.06723 -0.67407 -0.439341
  199 49.625 4.43163 0.0443163 17186 3.24829 6.15036 -19.1329 17363.4 15162.7 19031.9 -17.2512 -25.012 -18.1801 2.37171 0.333099 1.34835
  200 49.875 3.88041 0.0388041 18564.7 -6.43191 1.12408 -17.6844 19576.9 15361.1 20756 -31.9572 -22.7456 -16.6868 13.4645 2.40251 -4.13468
  201 50.125 3.41502 0.0341502 20653.3 2.39372 -2.08812 -6.48732 21407.7 16923.8 23628.3 -19.0899 -21.9432 -21.3152 5.64278 -2.7972 -1.5057
  202 50.375 3.57507 0.0357507 20505.4 -6.00543 3.60419 -4.00525 20460.7 16894.7 24161 -15.256 -17.9384 -19.3132 0.974001 -2.56608 -2.73839
  203 50.625 3.24896 0.0324896 21857.1 -7.37 -1.20484 -8.45741 21963.7 17320.1 26287.4 -12.1463 -27.3631 -28.9236 -1.07269 -6.44186 1.31159
  204 50.875 3.18715 0.0318715 22434.5 -9.01215 -1.10298 -11.3501 20579.2 18708.6 28015.9 -10.2754 -14.9611 -12.3136 -0.364862 -5.73927 -2.88105
  205 51.125 3.0301 0.030301 24123.3 -10.2238 0.121429 -12.714 22223.2 19434.8 30712 -31.6067 -13.0131 -9.10378 -7.38322 -0.836372 0.150208
  206 51.375 2.92328 0.0292328 24703.7 -8.05836 2.81871 -14.9341 23109.7 19198.7 31802.7 -29.9709 -18.5141 -12.4894 -10.7213 -0.101122 -4.61017
  207 51.625 2.76402 0.0276402 25635.2 -5.45574 -0.343195 -8.64802 24091.9 19849.7 32964.1 -7.00877 -22.3239 -15.9791 -0.763436 1.90643 3.25696
  208 51.875 2.74508 0.0274508 26010.9 -8.58482 -2.6438 -7.05418 25402 20391.4 32239.3 -41.3848 -21.0935 -21.008 4.54541 -2.83908 1.93789
  209 52.125 2.76625 0.0276625 25317.6 -12.7395 -2.54247 -8.88084 23232.1 20456.1 32264.4 -18.3589 -17.0179 -14.0139 2.58234 1.27208 6.43885
  210 52.375 2.56786 0.0256786 26569.5 -10.2175 -1.48082 -9.12663 24335.1 20948.2 34425.3 -15.1945 -14.0067 -13.3728 4.68618 -2.65198 1.76336
  211 52.625 2.45889 0.0245889 26555.1 -9.1641 4.86814 -10.35 23794.9 20626.9 35243.6 -5.75634 -6.08266 -4.19289 3.25995 -1.78835 2.96719
  212 52.875 2.41398 0.0241398 26976.3 -9.40621 2.81524 -7.13904 24452.9 20727.1 35748.8 -28.94 -9.34049 -7.35856 5.86785 2.05882 0.716476
  213 53.125 2.48979 0.0248979 26663.4 -6.18762 -1.25244 -7.44937 24079.4 20936.5 34974.3 -15.7089 -21.0815 -13.9054 0.155393 -4.35871 1.26876
  214 53.375 2.53683 0.0253683 27624.7 -7.66407 4.98338 -12.5177 24220.6 21969.6 36684 -10.7854 -22.2197 -10.4127 -4.14337 -1.50267 -2.5803
  215 53.625 2.46053 0.0246053 28214.1 -5.55618 3.80143 -2.65749 25977.1 23094.4 35570.8 -6.1614 -6.88628 -9.43126 2.89409 -1.82769 2.41642
  216 53.875 2.30577 0.0230577 29652.6 -9.8103 -1.04038 -6.35997 26170.2 23091.4 39696.3 -12.3923 -12.1174 -6.99443 2.57877 -0.190419 1.09582
  217 54.125 2.192 0.02192 29906.4 -15.1966 0.286162 -5.556 26218.3 22342.9 41157.9 -9.93914 -16.9297 -9.33366 -5.42761 1.23657 3.32125
  218 54.375 2.24082 0.0224082 31251.2 -13.9775 0.83446 -7.01418 26938.2 23062.6 43752.6 -11.078 -15.3392 -12.6622 -7.74459 5.9206 8.1458
  219 54.625 2.38042 0.0238042 30810.9 -12.9176 -1.03388 -1.51861 27062.4 23087 42283.3 -11.3732 -22.7128 -11.7046 -7.73672 2.28862 1.52548
  220 54.875 2.48764 0.0248764 31152.2 -16.7763 1.22196 -3.0482 27711.1 22414.7 43330.7 -26.3785 -37.5046 -16.1943 -2.27183 3.3591 4.93675
  221 55.125 2.21459 0.0221459 31767.1 -15.7878 -1.3813 -1.67145 27951.7 22179.3 45170.2 -13.4009 -27.9222 -15.8582 2.94214 -1.42375 3.0865
  222 55.375 2.0855 0.020855 32660.5 -14.5897 5.67371 -1.59491 28338.7 23169.1 46473.8 -3.39561 -3.79222 -7.72403 0.309472 0.819383 4.5219
  223 55.625 2.14104 0.0214104 32461.8 -19.654 8.23295 4.92314 29020.6 22166.3 46198.6 -5.65373 -14.1646 -12.3884 -1.10242 2.51054 6.49659
  224 55.875 2.08348 0.0208348 32757.9 -15.0818 2.37723 3.12717 29442.7 21958.5 46872.5 -5.41829 -10.1414 -10.7858 -0.146889 0.914693 3.41973
  225 56.125 1.97504 0.0197504 33300 -11.6716 -4.29538 7.13348 28586 21741.5 49572.4 -2.36435 -5.9869 -18.5765 0.823947 0.299468 2.3962
  226 56.375 1.93968 0.0193968 34466.2 -9.83293 -3.07706 6.42575 29622.8 22306 51469.9 -19.8659 -19.5395 -16.1775 -12.5892 -0.504522 2.38876
  227 56.625 2.03174 0.0203174 34034.9 -4.65519 2.09971 6.52599 28866.5 22375.7 50862.6 -5.92142 -18.7389 -17.6166 1.49576 3.98362 1.38572
  228 56.875 1.92536 0.0192536 35136.3 -7.28296 -2.42927 5.74758 29692.2 24125 51591.8 -8.78163 -9.60971 -7.28748 -1.84678 -3.02655 0.813212
  229 57.125 1.78117 0.0178117 37060.3 -12.1574 -6.15376 3.66366 30286.4 25966.2 54928.4 -17.1829 -17.5383 -17.1825 2.35168 6.16509 -2.69268
  230 57.375 1.86462 0.0186462 35515.4 -7.38055 0.854457 10.1018 29965.7 24255.2 52325.1 -29.1148 -18.2926 -4.95706 -11.2162 4.80534 2.88732
  231 57.625 1.91999 0.0191999 36108.6 -9.58918 7.59861 8.32494 29902.6 25496.3 52926.8 -7.73454 -26.1269 -15.3775 -0.724812 0.497696 1.12348
  232 57.875 1.95335 0.0195335 36510.2 -6.82122 9.22747 11.7376 28097.6 26122.1 55310.8 -6.72882 -8.90838 -17.3626 1.88482 1.95703 -4.12105
  233 58.125 1.91935 0.0191935 37262.3 -7.73978 2.02309 10.7573 27049.5 25263.7 59473.8 -13.4115 -15.0805 -13.6976 -0.229695 2.41602 -6.88237
  234 58.375 1.96111 0.0196111 36926.1 -5.07596 8.44203 15.0543 26846 25518.3 58414 -4.11624 -6.98706 -11.8927 0.240579 2.70138 -5.9721
  235 58.625 1.99554 0.0199554 31464.6 -7.78364 6.18878 2.07226 27578.8 25389.7 41425.4 -5.02528 -9.26541 -9.43654 -0.116672 2.20082 -4.08859
  236 58.875 1.99573 0.0199573 32070.2 -9.35124 1.53172 -3.58239 27217.1 24531.8 44461.7 -4.66602 -11.6647 -6.06911 3.47229 0.042365 -4.32706
  237 59.125 1.84872 0.0184872 31649.4 -7.72679 3.03896 3.16359 26975.1 25055 42918.2 -7.02102 -7.9057 -6.47603 1.55126 -1.09217 -1.95843
  238 59.375 1.75074 0.0175074 32774.8 -4.22472 1.3366 1.04954 29005.4 24814.8 44504.3 -18.2072 -9.19346 -11.7431 -1.02407 -4.60416 -5.19589
  239 59.625 1.83342 0.0183342 34546.7 5.42504 -1.20427 -3.5611 30637 26407.8 46595.4 -13.5659 -13.035 -18.9996 3.34349 2.67471 3.13741
  240 59.875 1.81336 0.0181336 33788.9 0.46708 1.01815 1.23475 30120.7 25648.1 45598.1 -2.10055 -1.25167 -8.22392 -0.971613 -0.725493 -1.76674
  241 60.125 1.63091 0.0163091 36077.5 1.27884 -4.51347 -6.16439 32292.9 26260 49679.8 -11.3983 -13.8152 -14.3533 -5.81784 6.29435 0.00720973
  242 60.375 1.71313 0.0171313 36449.9 -4.30006 -0.276127 -4.63881 33129.5 26217.1 50003.1 -8.29605 -38.899 -9.26682 -5.69319 -6.74914 -9.54357
  243 60.625 1.73045 0.0173045 37124 -12.2282 2.85434 -6.73427 32246.1 27739.6 51386.3 -11.2349 -19.2986 -11.7722 -1.96636 4.05577 5.35198
  244 60.875 1.65673 0.0165673 38248.1 -7.3673 7.09934 -5.04784 34006.4 29359.4 51378.7 -11.4178 -16.4828 -15.8495 3.56812 -0.591068 2.77787
  245 61.125 1.7162 0.017162 36911.7 2.7322 -5.27274 11.0721 28591.1 33963.7 48180.3 -6.95426 -28.8116 -9.915 5.94116 -2.02154 -9.93323
  246 61.375 1.70658 0.0170658 35571.2 -2.11197 2.45992 7.57273 31675.4 25510.8 49527.4 -9.66655 -9.7404 -22.364 6.86172 -2.80862 0.541149
  247 61.625 1.62916 0.0162916 36635.5 -9.68919 7.92255 4.9863 30613.2 27333.1 51960.1 -8.08876 -14.4294 -17.1377 -1.29166 1.59422 -0.338843
  248 61.875 1.49936 0.0149936 37067.6 -12.0313 15.7621 7.54987 31139.1 25973 54090.7 -5.04182 -3.32314 -31.3197 -1.94491 -2.08415 -3.69346
  249 62.125 1.5076 0.015076 35996.2 -3.48812 15.4041 11.8545 30737.9 24102 53148.6 -12.9732 -2.56274 -7.28277 0.146198 1.10137 1.19668
  250 62.375 1.5164 0.015164 37025.8 -4.32434 15.2802 9.78786 33698.5 24293 53085.8 -11.9668 -15.082 -11.8816 -12.625 -4.74685 -4.48662
  251 62.625 1.63072 0.0163072 37101 -7.66696 17.0108 9.38071 33589.1 25133 52580.8 -6.30423 -6.36229 -3.70191 1.59067 -1.7769 -3.36259
  252 62.875 1.7203 0.017203 36470.6 -5.22846 15.8344 9.46163 33776 23240.1 52395.6 -10.8121 -12.2062 -7.05767 4.642 -4.70264 1.31758
  253 63.125 1.44277 0.0144277 37265.4 -10.6196 10.8001 4.56014 31860.9 23338.2 56597.2 -3.76984 -5.70522 -7.79667 3.37725 -4.11611 6.65011
  254 63.375 1.34689 0.0134689 38044.2 -15.2187 10.5922 9.937 30239.7 23352.3 60540.6 -0.247434 -0.19243 -0.617476 -0.215811 -0.390762 -0.342057
  255 63.625 1.52126 0.0152126 38340.7 -18.4739 9.56517 5.93275 32006.7 21656.9 61358.4 -7.28711 -2.48544 -3.25863 -0.618394 2.64742 2.58272
  256 63.875 1.31054 0.0131054 40859.5 -15.6412 2.53548 0.943291 32560.4 24254.2 65763.8 -14.4884 -2.73719 -10.8912 4.57057 -5.75793 1.35067
  257 64.125 1.25354 0.0125354 40700.8 -20.8593 6.49412 5.42285 33076.5 23989.7 65036.4 -1.7129 -1.17557 -2.94164 -0.216253 1.25791 1.67372
  258 64.375 1.2904 0.012904 40821.7 -18.7954 6.00097 6.13377 33048 23767.3 65649.8 -2.74913 -3.35266 -10.1858 -1.94179 -0.730425 1.00942
  259 64.625 1.29316 0.0129316 41569 -17.8522 3.16351 7.4469 33884.1 24701.6 66121.3 -13.8289 -6.80759 -20.6885 -5.56866 13.7364 7.9612
  260 64.875 1.40237 0.0140237 41043.5 -13.5528 -4.52886 16.1527 33559.7 24480.3 65090.4 -38.6119 -13.4208 -25.3343 4.40106 21.6336 7.17978
  261 65.125 1.30847 0.0130847 41903.6 -15.6834 3.48394 12.367 35416.6 23967 66327.3 -19.5081 -12.3619 -12.5482 3.56676 7.44185 -3.38905
  262 65.375 1.28135 0.0128135 42945.3 -9.21751 2.05391 7.01279 35701.2 25783.1 67351.7 -16.8478 -32.6476 -8.38972 -6.25688 -5.59128 -9.51371
  263 65.625 1.3112 0.013112 43907.9 -2.46765 3.62989 5.53276 35009.8 28283.6 68430.2 -16.5689 -22.9972 -6.86499 -4.73912 0.417224 -6.54998
  264 65.875 1.28185 0.0128185 44403.6 -11.33 11.758 8.21224 36208.2 29245.1 67757.6 -10.0692 -12.2399 -5.83227 -5.3584 4.3717 2.44042
  265 66.125 1.39119 0.0139119 43823.1 -16.2321 1.92553 10.1001 35740.5 29637.2 66091.4 -4.31522 -1.71661 -3.74903 -2.5396 3.16457 1.31604
  266 66.375 1.24821 0.0124821 44916.7 -18.0658 9.86846 5.87585 37094.2 27680.2 69975.7 -5.28654 -8.64959 -7.89462 -4.81185 -2.74654 -3.29445
  267 66.625 1.22307 0.0122307 44508.7 -19.5723 11.1796 9.20866 37414 27230 68882.1 -81.0766 -33.9573 -20.1775 -12.0189 11.9842 -10.8402
  268 66.875 1.23431 0.0123431 43561.9 -6.98277 10.2279 6.19549 35893.6 25161.6 69630.5 -42.0661 -29.836 -20.8073 -7.5154 19.7228 5.30281
  269 67.125 1.1511 0.011511 46000.2 -10.4482 8.29404 4.61555 34328.2 27026.1 76646.4 -0.793407 -0.542944 -0.561103 -0.431651 0.570765 0.0952718
  270 67.375 1.12907 0.0112907 47334.5 -13.2253 13.3806 3.95007 34582.6 28338.7 79082.1 -2.86568 -2.90793 -3.36939 2.88005 -3.07656 3.12186
  271 67.625 1.08772 0.0108772 47726.9 -15.1822 6.4223 8.09066 36061.3 27691.2 79428.1 -10.1049 -11.2894 -5.40545 1.42888 -5.84919 4.81177
  272 67.875 1.18755 0.0118755 46881.6 1.38644 8.64848 10.0252 33785.6 27549.4 79309.7 -7.66305 -9.47255 -17.5356 3.41995 2.54286 5.72655
  273 68.125 1.19194 0.0119194 47037.5 4.50663 11.9478 2.82077 34790.1 27640.6 78681.7 -5.4269 -4.51001 -13.3713 1.34686 2.64867 2.06573
  274 68.375 1.08255 0.0108255 48300.6 -12.1803 15.9915 4.02872 35089.4 29878.4 79934.1 -7.73066 -5.63103 -38.575 -1.83192 6.71759 14.2709
  275 68.625 0.987278 0.00987278 49385.4 -15.0897 16.6432 7.21933 35479.5 30335.9 82341 -5.83151 -3.06939 -11.78 3.30579 -6.21697 5.3451
  276 68.875 0.9481 0.009481 49409.7 -1.25918 7.57737 14.1944 35098.8 30378.4 82751.9 -0.584721 -0.0130133 -0.591222 -0.0871428 -0.587692 -0.0874663
  277 69.125 1.01945 0.0101945 49712.5 2.18591 2.05295 18.6206 36104.2 30263.7 82769.6 -11.7753 -4.43183 -10.1957 0.684612 -10.2544 2.49833
  278 69.375 1.04216 0.0104216 50365.8 -4.07892 3.53885 17.9779 36573.4 32537.9 81986.3 -20.6137 -3.03652 -13.0833 -1.37982 -16.2484 -0.903181
  279 69.625 0.998006 0.00998006 50423.1 -4.70438 17.519 21.7567 37738.4 31956.8 81574.1 -4.52872 -0.410014 -2.30335 1.36065 -3.22974 0.970403
  280 69.875 0.995334 0.00995334 52105.4 -10.4184 14.9647 5.21039 39362.1 31729.3 85224.7 -35.4364 -5.82413 -33.2643 0.34053 -4.32496 10.3689
  281 70.125 0.999402 0.00999402 53126.6 -14.4062 17.7259 4.66726 40394.7 32447.8 86537.4 -11.5792 -0.245116 -6.38016 -1.1537 0.685621 0.382527
  282 70.375 0.953054 0.00953054 51231.7 -14.2864 14.9007 12.6327 36679.4 31899.5 85116.2 -2.73798 -9.628 -20.4677 -0.922732 -4.69626 5.03195
  283 70.625 0.961816 0.00961816 52892.7 -12.454 7.18854 9.13905 38279.4 32971.1 87427.7 -10.0891 -9.26551 -7.59584 -2.68385 -1.85785 -2.84272
  284 70.875 0.934352 0.00934352 54172.5 -23.6613 13.0941 1.80878 39657.8 32542.8 90316.9 -1.99924 -9.65095 -2.25314 -3.42065 -0.0960017 2.74418
  285 71.125 0.891876 0.00891876 52664.7 -13.3723 11.5039 2.56228 37647.7 32264.2 88082.2 -11.0647 -5.59219 -1.88546 7.2857 -0.0893178 -1.16075
  286 71.375 0.950308 0.00950308 53975.2 -14.606 16.1713 3.23919 39753.4 33312.2 88860.1 -1.33112 -0.00663699 -1.93463 -0.0489207 -0.502404 0.0690821
  287 71.625 0.94264 0.0094264 53897.5 -17.0835 14.7797 6.23242 39791.9 33871.9 88028.6 -3.79977 -0.18637 -4.01703 -0.565708 -0.99749 0.234002
  288 71.875 0.95781 0.0095781 48777.3 -7.90856 17.1451 -1.72298 40569.1 31616.8 74146 -2.13778 -0.243194 -1.67067 -0.664149 1.66861 0.407437
  289 72.125 0.88679 0.0088679 49789.5 -3.77947 13.7427 -11.0119 40082.3 33831.2 75454.9 -0.838704 -3.42819 -1.37181 -1.69157 -1.06936 -2.16852
  290 72.375 0.877862 0.00877862 49912.6 -7.9443 20.9547 -8.99017 39818.8 35404.5 74514.4 -14.0124 -5.53155 -4.12755 -6.54111 4.83019 1.0577
  291 72.625 0.884536 0.00884536 49384.5 -4.58292 29.5016 -5.35705 39256.1 34796.5 74101 -12.3098 -8.05276 -4.84145 -7.09143 4.84196 0.812907
  292 72.875 0.979852 0.00979852 46709 -6.36546 29.0269 7.08792 35877.6 35391.9 68857.4 -9.98131 -11.8512 -6.85391 -8.40499 3.49516 -0.762989
  293 73.125 0.930802 0.00930802 48202.8 -6.9585 33.7767 6.46595 37640.8 34547.7 72419.9 -0.00106375 -1.89702 -1.7818 -0.0153208 -0.0151162 -1.83847
  294 73.375 0.858896 0.00858896 51307.6 -11.4488 26.5775 -7.28064 39638.1 33339.4 80945.3 -6.49656 -0.72654 -3.95364 2.14603 5.06671 -1.66763
  295 73.625 0.8535 0.008535 53918 -9.27357 16.849 -9.82069 40099.2 35975.9 85679 -14.6736 -0.803091 -3.61663 1.12143 4.43423 -1.5786
  296 73.875 0.772478 0.00772478 56137 -12.3168 10.2957 -19.1444 42451.7 36124.6 89834.6 -0.658222 -0.121954 -0.246551 -0.114634 0.370449 0.00222552
  297 74.125 0.784414 0.00784414 56912.2 -16.8245 6.4877 -14.8532 43437.5 37134 90164.9 -1.20439 -8.08013 -11.6061 1.68787 2.7251 -8.73014
  298 74.375 0.730726 0.00730726 57563.2 -14.4758 8.761 -19.6913 44493.1 38454.5 89742.1 -13.2129 -16.214 -4.3674 -1.79505 -6.42808 -4.50172
  299 74.625 0.702306 0.00702306 57478.9 -15.477 18.0843 -20.3077 44961.1 37703.7 89771.9 -26.1787 -27.6606 -16.2236 5.18025 -9.08467 -9.94852
  300 74.875 0.704966 0.00704966 57379.9 -9.25771 20.068 -20.9312 45281.4 36662.1 90196.2 0 0 0 0 0 0
  301 75.125 0.643116 0.00643116 60701.4 -1.23091 16.991 -29.0079 46856.4 36651 98596.7 0 0 0 0 0 0
  302 75.375 0.699834 0.00699834 61478.6 -2.75105 27.5704 -29.2698 49380.2 37800 97255.5 -0.10278 -0.0494396 -4.49234 0.0581055 0.656893 -0.441202
  303 75.625 0.702534 0.00702534 59042.3 -8.84623 21.6007 -16.9248 49426.8 37390.4 90309.7 0 0 0 0 0 0
  304 75.875 0.635872 0.00635872 62008.5 -7.06726 14.7323 -22.3087 52643.2 38678.7 94703.7 -0.162037 -0.0779439 -7.08238 0.0916061 1.03562 -0.695577
  305 76.125 0.622958 0.00622958 60195.9 -14.5644 6.76252 -15.4604 46724.5 37165.7 96697.4 -3.96726 -78.3716 -1.18662 17.566 2.08059 -9.45046
  306 76.375 0.647888 0.00647888 58304.3 -13.6625 6.78541 -0.66261 42747.1 36159.1 96006.7 -4.97454 -0.0059002 -0.356787 0.0825447 -1.33178 0.0210532
  307 76.625 0.688354 0.00688354 57799.3 -10.2763 4.18504 -4.46956 41520.6 35582.6 96294.7 0 0 0 0 0 0
  308 76.875 0.693448 0.00693448 56907.3 -11.659 9.22006 1.88317 42681.1 34904.1 93136.9 0 0 0 0 0 0
  309 77.125 0.804236 0.00804236 56271.3 -22.2744 7.21815 -2.78558 42846.8 33964 92003.1 -4.30765 -0.0522569 -10.725 0.464887 6.79142 -0.739011
  310 77.375 0.73428 0.0073428 57568.3 -8.99605 6.87622 -4.31272 42860.7 34866.1 94978.1 -6.4222 -0.0378534 -2.82501 0.491759 4.25829 -0.326614
  311 77.625 0.663422 0.00663422 59868.9 -11.3399 14.9221 -8.12367 42318.5 38995.4 98292.7 -11.6269 -0.107081 -17.7845 1.08406 13.3558 -1.33735
  312 77.875 0.662566 0.00662566 61859.7 -12.3796 15.6245 -3.76391 46506.4 40775 98297.5 0 0 0 0 0 0
  313 78.125 0.728386 0.00728386 64154.9 -14.8097 12.2958 -0.937751 49378.9 41499.2 101587 0 0 0 0 0 0
