# Chunk-averaged data for fix 5 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number v_T vx vy vz v_vx2 v_vy2 v_vz2 c_cols[1] c_cols[2] c_cols[3] c_cols[4] c_cols[5] c_cols[6]
1000000 800 500000.00000000064
  37 9.125 45.302 0.45302 15360.6 3.33197 -1.31335 -11.2079 15058.5 14559.5 16463.7 -250.278 -257.551 -256.433 0.350991 -2.00719 -2.11543
  38 9.375 44.6958 0.446958 15464.1 3.48985 -1.75076 -11.4712 14843.1 15016.1 16533.2 -241.634 -247.158 -250.436 -0.176136 1.19299 1.40696
  39 9.625 43.9379 0.439379 15618.6 3.59368 0.477014 -11.8952 15046.6 15228.9 16580.2 -254.13 -253.995 -248.806 0.451931 1.15921 -2.36022
  40 9.875 42.8728 0.428728 15902.4 3.29298 0.479271 -12.2362 15030.8 15840.9 16835.6 -244.582 -246.672 -256.805 5.58877 3.05639 1.23788
  41 10.125 42.3615 0.423615 15809.2 2.20493 -1.01261 -12.3649 15051.4 15734.6 16641.5 -237.926 -246.017 -243 -3.16679 -3.43304 3.15601
  42 10.375 42.3968 0.423968 15888.3 2.34023 -0.139956 -12.6196 15448.9 15734.6 16481.4 -242.611 -238.671 -244.266 -0.903248 -1.70053 3.3177
  43 10.625 41.4929 0.414929 15778.9 1.78787 -1.44256 -12.9633 15362.4 15667.5 16306.8 -223.098 -231.268 -231.663 8.03823 -0.274404 6.28515
  44 10.875 41.1313 0.411313 15499 2.87206 -0.626284 -13.11 15213.7 15138.7 16144.6 -232.744 -227.658 -228.124 2.37601 0.321663 0.823717
  45 11.125 40.2966 0.402966 15726.5 3.64641 -1.18367 -13.6253 15292.1 15609.1 16278.4 -233.476 -221.894 -235.472 5.24143 -0.236069 -0.568521
  46 11.375 39.6143 0.396143 15573.6 1.95352 -1.01295 -13.7445 15064 15466 16190.7 -233.204 -222.879 -224.733 0.611659 -3.69792 -2.36786
  47 11.625 38.7357 0.387357 15865.5 2.83336 -1.13537 -13.9965 15879.7 15309.8 16406.8 -227.393 -212.556 -219.159 -0.789834 -1.12853 3.21767
  48 11.875 38.0283 0.380283 16024.1 4.10278 -1.19995 -14.7471 15616.3 15721.9 16734.1 -205.123 -214.925 -213.813 4.80706 -6.08889 7.09763
  49 12.125 37.4812 0.374812 15802.8 3.94732 2.21709 -15.0419 15020.9 15807 16580.6 -222.735 -225.848 -222.413 2.07966 -0.687985 3.93837
  50 12.375 37.0464 0.370464 15613 3.68928 -0.432254 -15.1985 15012.1 15451.2 16375.7 -214.256 -209.642 -211.438 0.29178 1.93393 4.1466
  51 12.625 35.8821 0.358821 15531.1 4.53942 0.0309383 -15.9199 15001.8 14798.6 16793 -224.483 -212.67 -223.191 -6.77387 -4.00753 -1.57369
  52 12.875 35.328 0.35328 15544.4 3.84738 0.964529 -16.274 15059.8 14858.8 16714.7 -208.112 -204.339 -213.998 -4.32453 -1.84112 -1.22635
  53 13.125 35.1453 0.351453 15370.4 4.19944 1.12684 -16.5101 14918.7 14649.7 16542.8 -207.527 -196.039 -217.064 -0.211198 -4.47536 4.44442
  54 13.375 34.8348 0.348348 15249.6 2.48354 -0.235923 -15.9756 14603.8 14874 16271.1 -208.625 -199.197 -209.824 0.623248 -6.8522 3.05788
  55 13.625 34.6118 0.346118 15699.9 2.42084 0.0433384 -16.1487 15559.9 15487.4 16052.5 -200.264 -192.933 -191.038 2.73599 -5.59077 4.21401
  56 13.875 33.8561 0.338561 15609.7 1.695 -1.69109 -16.7515 15373.8 15121 16334.4 -196.804 -202.062 -200.773 0.161254 -3.40769 0.307803
  57 14.125 32.4594 0.324594 15614.9 2.03583 1.63402 -17.4738 15008.4 15212.3 16624.1 -196.786 -194.48 -193.889 -2.77602 2.64897 -2.63728
  58 14.375 32.0901 0.320901 15420 1.58533 -1.7277 -17.9178 14567.7 15140.1 16552.1 -180.823 -178.435 -188.378 -1.30588 0.402453 -1.16358
  59 14.625 32.1802 0.321802 15609.4 1.7018 -3.90129 -17.6546 14744.1 15790.2 16293.8 -179.705 -185.445 -178.023 3.94035 7.69193 -0.32489
  60 14.875 31.584 0.31584 15423.1 0.191624 -3.68298 -17.9968 14922.6 14951.7 16395 -182.581 -180.802 -179.323 -1.622 4.4889 -3.94247
  61 15.125 31.2551 0.312551 15327.8 -1.19766 -2.11867 -18.3395 14855.3 14800.6 16327.4 -168.518 -183.622 -175.434 2.80459 -1.89587 -6.16546
  62 15.375 30.7186 0.307186 15513.9 2.00467 -0.281859 -18.9212 14925 15326.2 16290.5 -188.594 -178.124 -188.383 1.55879 -0.740681 -2.49985
  63 15.625 29.9025 0.299025 15547.2 0.568916 -0.931442 -19.2403 14937.4 15266.1 16438.1 -179.675 -171.703 -188.423 -7.47068 -4.34604 9.9377
  64 15.875 30.3222 0.303222 15042.1 1.62644 -3.00563 -18.5827 14338.6 14880.7 15907 -166.225 -168.537 -170.633 -0.244771 -0.243138 4.3939
  65 16.125 29.4856 0.294856 15058 -1.16485 -2.20678 -19.2507 14532.8 14410.7 16230.6 -158.761 -162.962 -175.419 -2.15477 -4.88737 3.01737
  66 16.375 28.5949 0.285949 15174.1 -1.26393 -5.48231 -19.7295 14272.7 14772.9 16476.6 -147.476 -165.856 -169.12 3.36821 0.220506 2.45701
  67 16.625 27.6945 0.276945 15313.1 -0.199251 -3.37736 -20.8662 14431.9 14676.5 16830.7 -160.964 -166.236 -161.079 8.37534 -1.72207 0.9975
  68 16.875 27.1139 0.271139 15707.1 0.55106 -4.83313 -20.7908 14901.8 15279.5 16940.1 -173.766 -167.028 -157.27 -2.02525 -4.43634 1.31126
  69 17.125 26.8685 0.268685 15404.7 -0.307698 -3.32951 -21.3011 14528.4 14977 16708.6 -155.57 -148.825 -164.112 -0.246831 -7.79637 -4.74557
  70 17.375 26.8463 0.268463 15191.7 1.97859 -5.14502 -21.1221 14383.3 14749.3 16442.6 -143.431 -150.864 -148.648 -6.4959 0.386676 -3.41752
  71 17.625 26.6053 0.266053 15475.9 1.12622 -2.9202 -21.3484 15073.1 14933.2 16421.3 -153.179 -150.929 -171.942 2.94453 -2.60326 -1.34765
  72 17.875 25.9818 0.259818 15482.5 -0.65934 -3.90127 -21.5039 14966.1 15122.5 16358.8 -158.033 -149.542 -160.305 -0.434564 -1.09803 -1.98472
  73 18.125 25.5488 0.255487 15443 -0.333729 -4.38386 -21.5528 14877.1 15026.6 16425.2 -160.054 -148.549 -158.871 -2.34647 -7.03071 4.5191
  74 18.375 25.1529 0.251529 16103.8 2.1124 -4.52103 -21.839 15227.9 16477.6 16605.8 -152.758 -146.652 -141.37 -0.360832 0.94991 -0.428355
  75 18.625 24.193 0.24193 15984.4 0.953124 -5.37525 -22.896 14956.2 16038.5 16958.5 -151.082 -143.958 -153.717 -4.16048 -4.59233 1.53494
  76 18.875 23.6866 0.236866 16021.6 0.162645 -5.7556 -22.7523 15166.7 15834.4 17063.9 -145.252 -140.901 -142.779 5.4552 -0.825078 6.86481
  77 19.125 23.2281 0.232281 15989.4 -1.58876 -2.18616 -23.3322 14982.8 15796.2 17189.3 -145.519 -141.024 -140.46 -3.44445 -6.44751 2.46901
  78 19.375 23.2644 0.232644 15927.6 -1.4493 -1.33412 -23.4665 14836.2 16034.4 16912.3 -144.727 -146.064 -139.545 0.286927 -7.12808 -4.68027
  79 19.625 22.8316 0.228316 15871.5 -1.61685 -3.20312 -23.7588 14811.7 15835.8 16967.1 -135.823 -121.571 -138.805 6.08006 -1.91391 -5.34725
  80 19.875 22.1609 0.221609 15882.3 -0.0775249 -3.64085 -24.2341 14997.6 15439.8 17209.3 -126.443 -137.42 -143.969 3.68366 1.49237 1.97611
  81 20.125 21.6315 0.216315 15757.5 -0.138402 -4.25047 -24.356 14940.2 15009.2 17323.2 -115.046 -125.384 -136.872 0.721079 5.91684 4.32343
  82 20.375 21.6436 0.216436 15620 0.642571 -1.867 -23.9863 14812.3 14980.4 17067.4 -125.276 -122.659 -134.496 3.71151 -0.995208 0.433594
  83 20.625 21.3313 0.213313 15757.8 2.10963 -4.23289 -24.6081 15096.2 15049.3 17127.9 -135.609 -120.616 -125.402 3.9144 -0.954883 -1.18925
  84 20.875 21.1606 0.211606 15761.5 0.852644 -1.66023 -24.5752 15064 15152.1 17068.5 -125.904 -130.123 -126.818 -2.14758 13.4623 1.72084
  85 21.125 20.7641 0.207641 15784.9 1.48345 -5.84068 -24.7154 15443.9 14757.3 17153.7 -126.414 -122.738 -116.926 0.0460267 2.59928 1.79704
  86 21.375 20.5137 0.205137 15831.5 -0.585394 -2.61808 -24.5928 15780.8 14687.9 17025.9 -118.178 -125.445 -127.259 -0.00251122 4.97982 2.37485
  87 21.625 19.9194 0.199194 15817.4 0.571175 -4.4772 -25.273 15081.9 15129.4 17241 -107.399 -112.316 -117.914 -4.54521 -1.03618 4.11239
